,user_id,rt_count,user_name
439, 83638901,7,RTUKnews
440, 3597774917,7,AnaDono_
441, 2800466323,7,porridgeisgood
442, 2570274991,6,Purrfuction
443, 146531876,6,soleil444
444, 822119786633105408,6,realSmokingFrog
445, 171360721,6,nolahoubear
446, 1234869202357493761,6,AnaRodri60
447, 162209354,6,satjapan
448, 715050386592284674,6,josesirgado
449, 737615887516106754,6,AljosaDragas
450, 999635247812829184,6,radica32113943
451, 475543066,6,Ramsey2k18
452, 1558202438,6,burke_tl
453, 1241950308042821633,6,captainoldsalt
454, 2533692642,6,SudarshanRT89
455, 148341326,6,unaanagi
456, 1230139415395172352,6,MrBlueKnew
457, 1030848141464137729,6,nofrespeechere
458, 352220090,6,PaulPaul49
459, 878783588350795778,6,RussianShroom
460, 327322508,6,Reenath
461, 1246876039692705792,6,Peter29872834
462, 1222961281596100608,6,fareedhasan20
463, 1033366677206048768,6,WaldGreen2
464, 371082634,6,galarole08
465, 103720918,6,Destinyuhva
466, 1151188881561260032,6,yo_greis
467, 30184765,6,AMG26
468, 810336241883480065,6,sushmibhaduri28
469, 1227579459794014208,6,2020_willpass
470, 822441084756357120,6,BillieN71
471, 355322625,6,1youichi
472, 1605694716,6,HUMANBEINGONE
473, 370529938,6,memarca69
474, 320192599,6,russkaya_ufa
475, 818864728864882688,6,VelGise
476, 960464473273389057,6,BukkiVlad
477, 1252256000230514689,6,jasonotoolereal
478, 1123935428996935682,6,commie_husbando
479, 1147912626992754688,6,JohnnyG91906395
480, 376922724,6,007touch
481, 1236423871361961985,6,Thom50521528
482, 1165293412087672833,6,Ksenia02110848
483, 783001988,6,thehebrewess
484, 1229690468218417152,6,Green22276233
485, 2559779633,6,BiancaBunny_
486, 146952095,6,AhsanAliNeva
487, 1131662432487780361,6,LSands99425955
488, 398509129,6,ftsnakes
489, 449123337,6,FullCupHenny
490, 64133846,6,abl_10
491, 72177194,6,bardnix
492, 302599903,6,marciasgreen
493, 768185351764443136,6,CianGaia
